Actual outdoor temperature [°C],NordPool hind [s/kWh]
-26.0,7.8
-25.0,8.8
-24.0,9.6
-23.0,9.1
-22.0,50.7
-21.0,17.4
-20.0,15.7
-19.0,13.7
-18.0,17.4
-17.0,14.3
-16.0,12.4
-15.0,20.7
-14.0,22.1
-13.0,14.3
-12.0,14.7
-11.0,14.1
-10.0,13.9
-9.0,14.4
-8.0,13.1
-7.0,12.7
-6.0,12.4
-5.0,12.8
-4.0,11.5
-3.0,11.1
-2.0,9.6
-1.0,8.8
0.0,8.0
1.0,7.6
2.0,6.8
3.0,6.4
4.0,6.3
5.0,6.5
6.0,7.2
7.0,7.8
8.0,8.2
9.0,8.0
10.0,8.1
11.0,8.2
12.0,7.6
13.0,7.8
14.0,8.4
15.0,8.7
16.0,8.6
17.0,8.8
18.0,9.0
19.0,9.5
20.0,9.7
21.0,9.5
22.0,9.5
23.0,8.7
24.0,8.9
25.0,8.5
26.0,9.1
27.0,7.8
28.0,8.0
29.0,9.1
30.0,8.0
31.0,7.9
32.0,8.4
33.0,8.7
34.0,8.1
35.0,8.7
36.0,8.7
37.0,10.1
38.0,15.4
39.0,15.9
40.0,12.7
41.0,18.2
42.0,7.8
43.0,9.3
